ts,xs
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0037
40,0.0
41,0.0463
42,0.0145
43,0.0187
44,0.1465
45,0.0
46,0.1554
47,1.4389
48,0.0193
49,0.0
50,0.0
51,0.0001
52,0.0002
53,0.0006
54,0.0
55,0.0
56,0.0
57,0.0046
58,0.0044
59,0.3849
60,0.0104
61,0.0012
62,0.0144
63,0.0161
64,0.1304
65,0.0082
66,0.1119
67,0.4296
68,0.4008
69,0.29
70,0.119
71,0.1257
72,0.1487
73,0.8089
74,0.6326
75,0.7248
76,0.7642
77,0.2882
78,0.2584
79,0.0
80,0.2848
81,0.0
82,0.0589
83,0.6326
84,0.4393
85,0.4993
86,0.6895
87,0.8313
88,1.0059
89,0.8648
90,0.3943
91,0.2081
92,1.1785
93,0.0
94,0.4087
95,0.931
96,1.0456
97,0.7612
98,3.0945
99,2.7592
100,0.0
101,3.1312
102,4.8807
103,1.6874
104,0.886
105,0.0
106,0.1951
107,0.6792
108,0.1807
109,1.2366
110,1.5329
111,1.6653
112,0.0077
113,0.7944
114,3.8613
115,5.3495
116,0.4431
117,0.0
118,2.2771
119,5.6651
120,0.2061
121,0.0
122,1.1026
123,3.8029
124,4.3422
125,0.7462
126,5.2611
127,4.7981
128,4.6995
129,0.3075
130,4.7021
131,7.4841
132,1.4516
133,0.0
134,1.941
135,5.0618
136,6.5368
137,6.4801
138,6.6282
139,8.2026
140,8.1375
141,1.1264
142,6.4931
143,2.9912
144,1.1825
145,5.6304
146,4.7778
147,2.7497
148,4.0934
149,6.1279
150,1.0093
151,5.6711
152,3.6648
153,6.571
154,9.6326
155,7.5868
156,6.7101
157,6.8635
158,8.7732
159,1.0788
160,5.3839
161,4.5807
162,6.6986
163,7.4225
164,8.2943
165,8.4381
166,0.0749
167,6.9976
168,6.6217
169,3.8503
170,5.6628
171,5.6166
172,2.0824
173,0.0768
174,3.3393
175,6.9876
176,8.5173
177,7.6254
178,1.6482
179,6.3407
180,8.1642
181,10.5749
182,7.781
183,7.7818
184,6.699
185,6.7104
186,8.0902
187,7.2239
188,7.5454
189,7.4386
190,8.245
191,6.1212
192,8.35
193,7.5186
194,7.2667
195,6.5594
196,8.8166
197,10.3617
198,9.1697
199,7.2993
200,7.3407
201,7.7013
202,8.12
203,7.0438
204,4.4864
205,6.9866
206,8.1107
207,6.9183
208,8.6537
209,7.2362
210,7.0367
211,7.7239
212,6.25
