sdoy,GPP,NEE,ER,NPP,Ra,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,Rh
1,0.0,0.3277,0.3277,0.0,0.3047,449.3953,379.9996,249.9141,119.6849,300.0,321.9716,38340.0,23120.0,0.023
2,0.0,0.3248,0.3248,0.0,0.2842,448.6938,379.9988,249.7589,120.5308,300.0,321.9221,38340.0,23120.0,0.0406
3,0.0,0.5068,0.5068,0.0,0.4669,447.9933,379.9981,249.6043,121.3746,300.0,321.8745,38340.0,23120.0,0.0399
4,0.0,0.0781,0.0781,0.0,0.0383,447.294,379.9974,249.4509,122.2156,300.0,321.8276,38340.0,23120.0,0.0398
5,0.0,0.0844,0.0844,0.0,0.0446,446.5958,379.9966,249.2988,123.0537,300.0,321.7814,38340.0,23120.0,0.0398
6,0.0,0.1091,0.1091,0.0,0.0694,445.8987,379.9959,249.1481,123.8889,300.0,321.7361,38340.0,23120.0,0.0398
7,0.0,0.0778,0.0778,0.0,0.038,445.2026,379.9952,248.9986,124.7211,300.0,321.6914,38340.0,23120.0,0.0398
8,0.0,0.1118,0.1118,0.0,0.0719,444.5077,379.9944,248.8504,125.5504,300.0,321.6471,38340.0,23120.0,0.0399
9,0.0,0.0824,0.0824,0.0,0.0425,443.8138,379.9937,248.7035,126.3767,300.0,321.6036,38340.0,23120.0,0.0399
10,0.0,0.0798,0.0798,0.0,0.0399,443.121,379.993,248.5578,127.2002,300.0,321.5604,38340.0,23120.0,0.0399
11,0.0,0.075,0.075,0.0,0.035,442.4293,379.9922,248.4132,128.021,300.0,321.5181,38340.0,23120.0,0.04
12,0.0,0.0665,0.0665,0.0,0.0264,441.7386,379.9915,248.2697,128.8391,300.0,321.4764,38340.0,23120.0,0.0401
13,0.0,0.1091,0.1091,0.0,0.069,441.0491,379.9908,248.1273,129.6547,300.0,321.435,38340.0,23120.0,0.0401
14,0.0,0.1836,0.1836,0.0,0.1435,440.3606,379.9901,247.9859,130.4675,300.0,321.3947,38340.0,23120.0,0.0401
15,0.0,0.3778,0.3778,0.0,0.3374,439.6732,379.9893,247.8454,131.2777,300.0,321.3543,38340.0,23120.0,0.0404
16,0.0,0.1609,0.1609,0.0,0.1204,438.9869,379.9886,247.7058,132.0855,300.0,321.3148,38340.0,23120.0,0.0405
17,0.0,0.3951,0.3951,0.0,0.3546,438.3016,379.9879,247.567,132.8908,300.0,321.2758,38340.0,23120.0,0.0405
18,0.0,0.3972,0.3972,0.0,0.3565,437.6174,379.9871,247.4291,133.6937,300.0,321.2373,38340.0,23120.0,0.0407
19,0.0,0.2913,0.2913,0.0,0.2505,436.9343,379.9864,247.2919,134.4943,300.0,321.1992,38340.0,23120.0,0.0408
20,0.0,0.3533,0.3533,0.0,0.3123,436.2522,379.9857,247.1554,135.2925,300.0,321.1612,38340.0,23120.0,0.041
21,0.0,0.3023,0.3023,0.0,0.261,435.5713,379.9849,247.0195,136.0885,300.0,321.1238,38340.0,23120.0,0.0413
22,0.0,0.2713,0.2713,0.0,0.23,434.8913,379.9842,246.8842,136.8822,300.0,321.0868,38340.0,23120.0,0.0413
23,0.0,0.661,0.661,0.0,0.6187,434.2125,379.9835,246.7483,137.6747,299.9997,321.0492,38340.0,23120.0,0.0424
24,0.0,0.5495,0.5495,0.0,0.5057,433.5346,379.9827,246.6111,138.4662,299.999,321.011,38340.0,23120.0,0.0439
25,0.0015,0.2342,0.2357,0.0,0.1917,432.8579,379.982,246.4745,139.2554,299.9982,320.9734,38340.0,23120.0,0.044
26,0.0,0.4104,0.4104,0.0,0.3665,432.1822,379.9813,246.3383,140.0428,299.9975,320.9366,38340.0,23120.0,0.0439
27,0.0,0.4053,0.4053,0.0,0.3616,431.5076,379.9805,246.202,140.8286,299.9968,320.9007,38340.0,23120.0,0.0437
28,0.0,0.3661,0.3661,0.0,0.3222,430.834,379.9798,246.0662,141.6125,299.996,320.8648,38340.0,23120.0,0.0439
29,0.0,0.2308,0.2308,0.0,0.1867,430.1614,379.9791,245.9304,142.3947,299.9953,320.8295,38340.0,23120.0,0.0441
30,0.0,0.1254,0.1254,0.0,0.0811,429.49,379.9783,245.7949,143.1751,299.9946,320.7943,38340.0,23120.0,0.0443
31,0.0,0.1644,0.1644,0.0,0.1199,428.8195,379.9776,245.6596,143.9537,299.9938,320.7594,38340.0,23120.0,0.0445
32,0.0,0.0725,0.0725,0.0,0.0277,428.1502,379.9769,245.5244,144.7307,299.9931,320.725,38340.0,23120.0,0.0448
33,0.0,0.0922,0.0922,0.0,0.0472,427.4818,379.9761,245.3894,145.5059,299.9924,320.6908,38340.0,23120.0,0.045
34,0.0,0.0963,0.0963,0.0,0.0511,426.8145,379.9754,245.2547,146.2794,299.9916,320.657,38340.0,23120.0,0.0452
35,0.0,0.0844,0.0844,0.0,0.039,426.1483,379.9747,245.1199,147.0514,299.9909,320.6242,38340.0,23120.0,0.0454
36,0.0,0.1428,0.1428,0.0,0.0972,425.483,379.9739,244.9853,147.8217,299.9902,320.5915,38340.0,23120.0,0.0456
